[1336507201000, 1055, 50300],
[1336510801000, 1247, 56206],
[1336514401000, 1388, 61224],
[1336518001000, 1531, 66236],
[1336521601000, 1626, 69888],
[1336525201000, 1711, 72448],
[1336528801000, 1784, 74942],
[1336532401000, 1842, 76399],
[1336536001000, 1901, 77923],
[1336539602000, 1947, 78985],
[1336543201000, 2001, 80222],
[1336546802000, 2086, 82499],
[1336550401000, 2183, 85871],
[1336554001000, 2305, 89048],
[1336557601000, 2461, 92825],
[1336561201000, 2590, 96407],
[1336564801000, 2709, 100153],
[1336568401000, 2814, 102728],
[1336572001000, 2939, 106485],
[1336575601000, 3072, 109885],
[1336579201000, 3189, 113154],
[1336582801000, 3306, 116684],
[1336586401000, 3404, 119502],
[1336590001000, 3498, 121960],
[1336593601000, 3609, 125007],
[1336597201000, 3697, 127824],
[1336600801000, 3783, 129862],
[1336604401000, 3831, 131838],
[1336608001000, 3874, 133368],
[1336611601000, 3912, 134373],
[1336615201000, 3941, 136272],
[1336618801000, 3964, 136962],
[1336622401000, 3988, 137878],
[1336626003000, 4018, 139023],
[1336629602000, 4042, 140023],
[1336633202000, 4077, 141327],
[1336636802000, 4133, 143211],
[1336640401000, 4206, 145000],
[1336644001000, 4278, 149516],
[1336647601000, 4348, 153760],
